layer,level,sid,n,correct,accuracy,uplift,wilson_lower,p_value,q_value,selected
24,1,126,4138,2375,0.5739487675205414,0.08547916584339249,0.5588199595280818,4.077876041569571e-31,8.99000458629994e-30,True
24,1,157,4670,2922,0.625695931477516,0.13722632980036714,0.6117178709606269,2.935374028750086e-88,2.6491750609469525e-86,True
24,1,160,2226,1294,0.5813117699910153,0.09284216831386644,0.5606940800318194,1.3601670383283094e-19,1.7005032063602412e-18,True
24,1,180,4052,2279,0.5624383020730503,0.07396870039590148,0.5471113806423946,2.9202423405804076e-23,4.711541832176657e-22,True
24,2,1,917,596,0.6499454743729552,0.16147587269580638,0.6185051216572673,1.8579979662476319e-23,3.031580862442464e-22,True
24,2,6,742,470,0.633423180592992,0.1449535789158431,0.5981461648675048,8.22990093429335e-16,8.428352446184111e-15,True
24,2,8,168,105,0.625,0.13653039832285113,0.5497668160274497,0.0002486856915526771,0.0010408757640639587,True
24,2,9,485,277,0.5711340206185567,0.0826644189414078,0.5266979951800971,0.0001476611539099027,0.0006345913876366056,True
24,2,22,129,85,0.6589147286821705,0.17044512700502162,0.573569676633029,6.820594002614483e-05,0.0003039795598696085,True
24,2,33,972,570,0.5864197530864198,0.09795015140927094,0.5551782320742732,3.778930032948194e-10,2.66184144759863e-09,True
24,2,37,972,629,0.647119341563786,0.15864973988663716,0.6165517596815128,5.590888073317271e-24,9.387491137058302e-23,True
24,2,42,414,230,0.5555555555555556,0.06708595387840671,0.5073964534069734,0.0035191150422120873,0.012586758747769851,True
24,2,49,835,495,0.592814371257485,0.10434476958033617,0.559138126441888,6.570064832561818e-10,4.4856612852100545e-09,True
24,2,54,1022,618,0.6046966731898239,0.11622707151267503,0.5743828357682679,3.015048834862537e-14,2.845575501661113e-13,True
24,2,58,1027,623,0.6066212268743915,0.1181516251972426,0.5764000899093128,9.861280354025647e-15,9.556838141753715e-14,True
24,2,80,392,235,0.5994897959183674,0.1110201942412185,0.5502428525972194,6.0537397769202586e-06,2.9936987116002923e-05,True
24,2,82,948,571,0.6023206751054853,0.11385107342833639,0.5708125789151963,7.597796946724335e-13,6.287231398893948e-12,True
24,2,90,311,188,0.6045016077170418,0.11603200603989289,0.549200600287757,2.4437436688004886e-05,0.0001141995423219387,True
24,2,104,1304,804,0.6165644171779141,0.12809481550076524,0.5898677801153904,2.858962976270203e-21,4.087467859142745e-20,True
24,2,125,951,631,0.6635120925341745,0.17504249085702567,0.6328761334136812,2.824077528676973e-28,5.62478338125455e-27,True
24,2,141,742,546,0.7358490566037735,0.24737945492662466,0.7029697400270162,1.3570777171338417e-43,4.557256333816901e-42,True
24,2,148,964,743,0.770746887966805,0.28227728628965615,0.7431674161324684,1.0592359010817528e-73,6.797940627386894e-72,True
24,2,191,1413,777,0.5498938428874734,0.06142424121032458,0.5238526876029042,1.5213015026372763e-06,7.988215890211734e-06,True
24,2,216,865,508,0.5872832369942197,0.09881363531707082,0.5541582830269063,2.5161050879497056e-09,1.6402960483067157e-08,True
24,2,221,847,524,0.6186540731995277,0.13018447152237883,0.5854765724779313,1.0479625037733096e-14,1.0122126123402401e-13,True
24,2,226,1029,547,0.531584062196307,0.04311446051915818,0.5010336228422008,0.002824985277180819,0.010249444070977644,True
24,2,244,230,146,0.6347826086956522,0.1463130070185033,0.5708147008270889,5.3040990864486065e-06,2.6410755451144098e-05,True
24,2,246,776,441,0.5682989690721649,0.07982936739501606,0.5331966427484727,4.190778305804189e-06,2.101209678326823e-05,True
