layer,level,sid,n,correct,accuracy,uplift,wilson_lower,p_value,q_value,selected
5,2,215,202,42,0.2079207920792079,-0.28054880959794093,0.1576645558722051,1.0,1.0,False
5,2,228,110,39,0.35454545454545455,-0.13392414713169432,0.2714400375949107,0.9983130953295385,1.0,False
5,2,229,2675,1291,0.48261682242990656,-0.005852779247242312,0.46371873681802583,0.7403246537582105,1.0,False
5,2,232,142,8,0.056338028169014086,-0.4321315735081348,0.028820370601525463,1.0,1.0,False
5,2,242,417,73,0.1750599520383693,-0.3134096496387796,0.14159725020356076,1.0,1.0,False
5,2,250,129,61,0.4728682170542636,-0.015601384622885295,0.38874705666597537,0.6709072955856491,1.0,False
5,2,253,1362,635,0.46622613803230545,-0.02224346364484342,0.4398644318141267,0.9550424512022884,1.0,False
6,0,221,44838,21902,0.48846960167714887,0.0,0.48384391595478843,1.0,1.0,False
6,1,7,11331,5070,0.44744506221869207,-0.0410245394584568,0.438308961595389,1.0,1.0,False
6,1,25,398,88,0.22110552763819097,-0.2673640740389579,0.18310839055581427,1.0,1.0,False
6,1,67,125,17,0.136,-0.35246960167714886,0.08667558082869227,1.0,1.0,False
6,1,91,12075,6778,0.5613250517598344,0.07285545008268551,0.5524559584844851,1.2178389287214084e-78,8.792797065368568e-77,True
6,1,133,101,33,0.32673267326732675,-0.16173692840982212,0.2430773845289514,0.9996542040500929,1.0,False
6,1,136,720,39,0.05416666666666667,-0.4343029350104822,0.03987440511795177,1.0,1.0,False
6,1,156,429,88,0.20512820512820512,-0.28334139654894375,0.16961428806765924,1.0,1.0,False
6,1,165,592,65,0.1097972972972973,-0.37867230437985155,0.08708401747571543,1.0,1.0,False
6,1,176,772,110,0.14248704663212436,-0.3459825550450245,0.11959691999060776,1.0,1.0,False
6,1,227,15184,8322,0.5480769230769231,0.05960732139977426,0.5401495683929399,2.931774634818427e-73,1.8014819458203442e-71,True
6,1,243,250,36,0.144,-0.3444696016771489,0.10586196391903241,1.0,1.0,False
6,1,247,2692,1206,0.44799405646359586,-0.04047554521355301,0.4292957449511771,0.9999934303976293,1.0,False
6,2,3,885,422,0.4768361581920904,-0.011633443485058459,0.44410034052446473,0.7682508742224675,1.0,False
6,2,4,110,56,0.509090909090909,0.02062130741376017,0.4169495629363377,0.3676305939843439,0.876004253652463,False
6,2,7,131,20,0.15267175572519084,-0.33579784595195805,0.10105740445609404,0.9999999999999999,1.0,False
6,2,11,238,24,0.10084033613445378,-0.38762926554269506,0.06870362827571774,1.0,1.0,False
6,2,15,1658,933,0.5627261761158022,0.07425657443865336,0.5387308345127823,4.052949529241339e-10,2.8479119806445223e-09,True
